	Name	Pairwise Identity	Accession	Bit-Score	Description	E Value	BlastHitOrganism	Query	BlastHitTaxonomy	GH	Metagenome	gene_id	fasta	RPKM	scaffold	KaijuTaxonomy	Domain	Phylum	Class	Order	Family	Genus	Species	Order_mg_gh_abund	Order_mg_abund	Order_mg_cnt	custom_label	is_selected	is_selected_upd	custom_label_upd	custom_label_upd_cnt
20	WP_242929102	56.6	WP_242929102	883.248	alpha-amylase family glycosyl hydrolase [Pontibacter vulgaris]	0.0	Pontibacter vulgaris	scaffolds_potato_NODE_890_length_16551_cov_92.839808_2	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Pontibacter	GH13	Potato	scaffolds_potato_NODE_890_length_16551_cov_92.839808_2	scaffolds_potato	32.5447	NODE_890_length_16551_cov_92.839808	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Reichenbachiellaceae; Reichenbachiella; Reichenbachiella faecimaris; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Reichenbachiella	Reichenbachiella faecimaris	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
21	MCB0644046	53.9	MCB0644046	630.943	starch-binding protein [Phaeodactylibacter sp.]	0.0	Phaeodactylibacter sp.	scaffolds_potato_NODE_87_length_47899_cov_98.561353_3	Bacteria; Bacteroidota; Saprospiria; Saprospirales; Haliscomenobacteraceae; Phaeodactylibacter	GH13	Potato	scaffolds_potato_NODE_87_length_47899_cov_98.561353_3	scaffolds_potato	34.5386	NODE_87_length_47899_cov_98.561353	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	unclassified Cyclobacteriaceae	unclassified Cyclobacteriaceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
22	MCB0644046	53.9	MCB0644046	548.51	starch-binding protein [Phaeodactylibacter sp.]	0.0	Phaeodactylibacter sp.	scaffolds_potato_NODE_87_length_47899_cov_98.561353_2	Bacteria; Bacteroidota; Saprospiria; Saprospirales; Haliscomenobacteraceae; Phaeodactylibacter	GH13	Potato	scaffolds_potato_NODE_87_length_47899_cov_98.561353_2	scaffolds_potato	34.5386	NODE_87_length_47899_cov_98.561353	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	Cyclobacterium lianum	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
23	WP_109622777	51.9	WP_109622777	996.112	alpha-amylase family glycosyl hydrolase [Sediminitomix flava]	0.0	Sediminitomix flava	scaffolds_potato_NODE_6_length_134858_cov_98.153085_25	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Flammeovirgaceae; Sediminitomix	GH13	Potato	scaffolds_potato_NODE_6_length_134858_cov_98.153085_25	scaffolds_potato	33.9465	NODE_6_length_134858_cov_98.153085	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Adhaeribacter soli	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
24	WP_201432395	49.6	WP_201432395	857.825	alpha-amylase family glycosyl hydrolase [Marivirga sp. S37H4]	0.0	Marivirga sp.	scaffolds_potato_NODE_112_length_42395_cov_102.288577_18	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Marivirgaceae; Marivirga	GH13	Potato	scaffolds_potato_NODE_112_length_42395_cov_102.288577_18	scaffolds_potato	35.2923	NODE_112_length_42395_cov_102.288577	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Pontibacter; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Rufibacter	unclassified Hymenobacteraceae	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
25	WP_123133891	46.9	WP_123133891	523.087	alpha-amylase family glycosyl hydrolase [Rufibacter immobilis]	2.24e-178	Rufibacter immobilis	scaffolds_potato_NODE_7_length_134135_cov_95.096339_14	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Hymenobacteraceae; Rufibacter	GH13	Potato	scaffolds_potato_NODE_7_length_134135_cov_95.096339_14	scaffolds_potato	32.9827	NODE_7_length_134135_cov_95.096339	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Reichenbachiellaceae; Reichenbachiella; Reichenbachiella faecimaris; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomaceae	Fibrisoma	Fibrisoma montanum	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
26	MCC5921586	40.1	MCC5921586	944.88	T9SS type A sorting domain-containing protein [Cyclobacteriaceae bacterium]	0.0	Cyclobacteriaceae bacterium	scaffolds_potato_NODE_1_length_339988_cov_100.180156_88	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Cyclobacteriaceae	GH13	Potato	scaffolds_potato_NODE_1_length_339988_cov_100.180156_88	scaffolds_potato	34.4941	NODE_1_length_339988_cov_100.180156	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Cytophagaceae; Sporocytophaga; Sporocytophaga myxococcoides; 	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	Fulvivirga sedimenti	23.762376237623762	18.3206106870229	24	GH13: Cytophagales	1	1	GH13: Cytophagales	24
27	SPO04174	73.7	SPO04174	892.878	probable alpha-amylase [Cephalotrichum gorgonifer]	0.0	Cephalotrichum gorgonifer	scaffolds_potato_NODE_413_length_24297_cov_10.610900_21	Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Microascales; Microascaceae; Cephalotrichum	GH13	Potato	scaffolds_potato_NODE_413_length_24297_cov_10.610900_21	scaffolds_potato	3.2152	NODE_413_length_24297_cov_10.610900	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Glomerellales; Plectosphaerellaceae; Plectosphaerella; Plectosphaerella cucumerina; 	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella cucumerina	3.9603960396039604	3.053435114503817	4	GH13: Glomerellales	1	1	GH13: Glomerellales	4
28	WP_112747049	60.9	WP_112747049	1413.67	starch-binding protein [Pseudochryseolinea flava]	0.0	Pseudochryseolinea flava	scaffolds_potato_NODE_123_length_41668_cov_55.385372_7	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Pseudochryseolinea	GH13	Potato	scaffolds_potato_NODE_123_length_41668_cov_55.385372_7	scaffolds_potato	19.2451	NODE_123_length_41668_cov_55.385372	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Glomerellales; Glomerellaceae; Colletotrichum; 	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	unclassified Colletotrichum	3.9603960396039604	3.053435114503817	4	GH13: Glomerellales	1	1	GH13: Glomerellales	4
29	WP_051052793	54.3	WP_051052793	1128.24	starch-binding protein [Fulvivirga imtechensis]	0.0	Fulvivirga imtechensis	scaffolds_potato_NODE_123_length_41668_cov_55.385372_6	Bacteria; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Fulvivirga	GH13	Potato	scaffolds_potato_NODE_123_length_41668_cov_55.385372_6	scaffolds_potato	19.2451	NODE_123_length_41668_cov_55.385372	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Glomerellales; Glomerellaceae; Colletotrichum; 	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	unclassified Colletotrichum	3.9603960396039604	3.053435114503817	4	GH13: Glomerellales	1	1	GH13: Glomerellales	4
30	TAD95107	46.8	TAD95107	669.848	starch-binding protein [Bacteroidota bacterium]	0.0	Bacteroidota bacterium	scaffolds_potato_NODE_123_length_41668_cov_55.385372_8	Bacteria; Bacteroidota	GH13	Potato	scaffolds_potato_NODE_123_length_41668_cov_55.385372_8	scaffolds_potato	19.2451	NODE_123_length_41668_cov_55.385372	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; sordariomyceta; Sordariomycetes; Hypocreomycetidae; Glomerellales; Glomerellaceae; Colletotrichum; 	Eukaryota	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	unclassified Colletotrichum	3.9603960396039604	3.053435114503817	4	GH13: Glomerellales	1	1	GH13: Glomerellales	4
31	WP_248597942	91.4	WP_248597942	401.364	malto-oligosyltrehalose trehalohydrolase [Agromyces sp. C10]	4.8e-131	Agromyces sp.	scaffolds_potato_NODE_2020_length_10228_cov_10.071027_7	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Agromyces	GH13	Potato	scaffolds_potato_NODE_2020_length_10228_cov_10.071027_7	scaffolds_potato	4.2671	NODE_2020_length_10228_cov_10.071027	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Glycomycetales; Glycomycetaceae; Glycomyces; Glycomyces dulcitolivorans; 	Bacteria	Actinomycetota	Actinomycetes	Glycomycetales	Glycomycetaceae	Glycomyces	Glycomyces dulcitolivorans	4.9504950495049505	3.816793893129771	5	GH13: Glycomycetales	1	1	GH13: Glycomycetales	5
